Time,ANALOG.AN_T1_Temperature,ANALOG.AN_Ngp_SP,ANALOG.AN_Guide_Vane_Position,ANALOG.AN_Gen_kW_SP,ANALOG.AN_Lube_Oil_Header_Temp,ANALOG.AN_Lube_Oil_Header_Press,ANALOG.AN_Gen_Exc_V,ANALOG.AN_Guide_Vane_Force,ANALOG.AN_Gas_Fuel_Press,ANALOG.AN_Gen_AVR_SP,ANALOG.AN_SoloNox_T5_SP,ANALOG.AN_Gas_Fuel_Flow,ANALOG.AN_Main_Gas_Valve_Position
2022-09-01 0:00,21.8889,100.5127,87.4038,13016.3467,62.8333,268.7188,30.5762,395.5966,2502.8852,13704.9248,743.3333,2571.5629,59.1987
2022-09-01 0:10,21.6667,100.4974,87.3718,13016.3467,62.7778,267.3928,31.0313,388.3711,2572.4957,13704.9248,743.3333,2655.3046,58.4295
2022-09-01 0:20,21.6667,100.485,87.3718,13016.3467,63.1667,267.8348,29.8789,390.1775,2465.7598,13704.9248,743.3333,2589.0093,60.2564
2022-09-01 0:30,21.6111,100.5064,87.4038,13016.3467,62.7222,266.5089,30.4063,402.8221,2487.4161,13704.9248,743.3333,2576.7968,59.6474
2022-09-01 0:40,21,100.493,87.3718,13009.1348,62.8333,267.8348,30.1719,399.2094,2564.7612,13704.9248,743.3333,2662.2832,58.4936
2022-09-01 0:50,20.8889,100.4807,87.4038,13009.1348,62.7778,269.1607,29.5352,428.1114,2543.1044,13704.9248,743.3333,2623.9015,58.8141
2022-09-01 1:00,20.7222,100.4485,87.3718,13009.1348,62.7222,266.5089,30.4297,390.1775,2533.823,13704.9248,743.3333,2671.0061,59.1026
2022-09-01 1:10,20.3333,100.4532,87.3718,13009.1348,62.7222,266.9508,32.8555,334.1798,2532.2763,13704.9248,743.3333,2613.4339,59.0705
2022-09-01 1:20,20.0556,100.4423,87.4038,13016.3467,62.8333,266.5089,30.1113,422.6923,2454.9312,13704.9248,743.3333,2609.9446,60.8654
2022-09-01 1:30,19.9444,100.4096,87.3718,13009.1348,62.6667,266.5089,29.9766,325.1479,2587.9645,13704.9248,743.3333,2732.0678,58.4295
2022-09-01 1:40,19.8333,100.4338,87.4038,13009.1348,62.7222,265.183,29.707,335.9862,2509.0727,13704.9248,743.3333,2604.7107,59.6474
2022-09-01 1:50,19.6667,100.4261,87.3718,13009.1348,62.8333,265.6249,29.5488,269.1502,2529.1824,13704.9248,743.3333,2629.1354,59.4231
2022-09-01 2:00,19.1667,100.4131,87.4038,13009.1348,62.7222,266.0669,29.6582,312.5033,2561.6673,13704.9248,743.3333,2681.4739,58.8782
2022-09-01 2:10,19,100.3952,87.4038,13009.1348,62.6667,266.9508,30.6387,330.567,2465.7598,13704.9248,743.3333,2644.8368,60.8654
2022-09-01 2:20,18.9444,100.3833,87.4038,13016.3467,62.7222,265.6249,29.2051,312.5033,2464.2126,13704.9248,743.3333,2623.9015,60.7692
2022-09-01 2:30,19.1667,100.3778,87.4038,13009.1348,62.7222,270.0447,29.8535,314.3097,2592.6054,13704.9248,743.3333,2730.3232,58.5256
2022-09-01 2:40,19.3333,100.405,87.4038,13009.1348,62.7222,266.5089,31.3359,330.567,2530.7295,13704.9248,743.3333,2644.8368,59.4551
2022-09-01 2:50,19.2222,100.3902,87.3718,13016.3467,62.6667,267.8348,32.2188,287.214,2601.8868,13704.9248,743.3333,2753.0032,58.3333
2022-09-01 3:00,18.8889,100.3773,87.4038,13016.3467,62.6667,267.3928,31.7402,355.8563,2456.4783,13704.9248,743.3333,2639.6032,60.9615
2022-09-01 3:10,18.8889,100.394,87.4038,13016.3467,62.7222,267.3928,30.1113,334.1798,2540.011,13704.9248,743.3333,2651.8154,59.391
